VENDOR,PARTNUMBER,Description,LOCATION,QUANTITY,CONDITION
NOKIA,3HE00027CA.01,FTLF8519P2BTL-A5,150122PILv,44,SPARE
ALCATEL,3HE00035CA,SFP - OC-3/STM-1 IR-1 R6/6 DDM -40/85C,150122PILv,0,SPARE
HUAWEI,52413318,ODU(XMC-2-10G) Microwave ODU -RTN XMC -10G --2 -91MHz -Sub Band C -Low site -H -10556MHz -10587MHz -Without doc -WR-90 -H01.,150122PILv,3,SPARE
HUAWEI,52413319,ODU(XMC-2-10G) Microwave ODU -RTN XMC -10G --2 -91MHz -Sub Band C -High site -H -10647MHz -10678MHz -Without doc -WR-90 -H01.,150122PILv,8,SPARE
HUAWEI,52413606,ODU(XMC-2H-7G) Microwave Outdoor Unit -RTN XMC -7G --2H -154MHz -Sub Band F -Low site -H  -7212MHz -7268MHz -Without doc -WR-112 -H01,150122PILv,1,SPARE
HUAWEI,52413778,ODU XMC 3 Microwave ODU -RTN XMC -26G --3 -Low site -H -24829MHz -25165MHz -25837MHz -26173MHz -Without doc -WR-42 -H01 -1008MHz -Sub Band B -24829MHz -25165MHz,150122PILv,1,SPARE
HUAWEI,52413779,ODU XMC-3 Microwave ODU -RTN XMC -26G --3 -High site -H -25837MHz -26173MHz -24829MHz -25165MHz -Without doc -WR-42 -H01 -1008MHz -Sub Band B -25837MHz -26173MHz,150122PILv,2,SPARE
HUAWEI,52413845,ODU XMC-3 Microwave ODU -RTN XMC -38G --3 -High site -H -38304MHz -38892MHz -37044MHz -37632MHz -Without doc -WR-28 -H01 -1260MHz -Sub Band A -38304MHz -38892MHz,150122PILv,2,SPARE
HUAWEI,52413862,Description is not found,150124TJKn,11,SPARE
HUAWEI,52413863,Microwave ODU -RTN XMC -13G --3 -High site -H -13017MHz -13157MHz -12751MHz -12891MHz -Without doc -WR-75 -H01 -266MHz -Sub Band A -13017MHz -13157MHz.,150124TJKn,11,SPARE
HUAWEI,52414902,Microwave ODU -RTN XMC -26G --3E -Low site -H -24549MHz -24885MHz -25557MHz -25893MHz -1008MHz -Sub Band A -24549MHz -24885MHz,150122PILv,11,SPARE
HUAWEI,52414904,Microwave ODU -RTN XMC -26G --3E -Low site -H -24829MHz -25165MHz -25837MHz -26173MHz -1008MHz -Sub Band B -24829MHz -25165MHz,150122PILv,17,SPARE
HUAWEI,52414905,Microwave ODU -RTN XMC -26G --3E -High site -H -25837MHz -26173MHz -24829MHz -25165MHz -1008MHz -Sub Band B -25837MHz -26173MHz,150122PILv,15,SPARE
HUAWEI,52431738,A26S02HAC Microwave Antenna -A26S02HAC -26G -200mm -HP -Single Polarization -Direct(XMC)/Separate(All RTN ODU) Mount -32.4dBi -3.8deg -30dB -With Bracket,150122PILv,1,SPARE
HUAWEI,52431759,A80S03HAC Microwave Antenna -A80S03HAC -80GHz -300mm -HP -Single Polarization -Compact Mount -43.8dBi -0.9deg -27dB,150122PILv,2,SPARE
HUAWEI,52432439,Microwave Antenna -A26S03MAC-3NX -26G -300mm -UHP-M -Single Polarization -Direct(XMC)/Separate(All RTN ODU) Mount -37.05dBi -2.4deg -30dB,150124TJKn,32,SPARE
HUAWEI,52432444,A80S03MAC-3NX Microwave Antenna -A80S03MAC-3NX -80G -300mm -UHP-M -Single Polarization -Direct(XMC)/Separate(All RTN ODU) Mount -46dBi -0.8deg -30dB,150122PILv,5,SPARE
HUAWEI,52432465,A26S06MAC-3NX Microwave Antenna -A26S06MAC-3NX -26G -600mm -UHP-M -Single Polarization -Direct(XMC)/Separate(All RTN ODU) Mount -42dBi -1.3deg -30dB,150122PILv,4,SPARE
HUAWEI,52432477,03020PSS Microwave Antenna -A26D06MAC-3NX -26G -600mm -UHP-M -Dual Polarization -Direct(XMC)/Separate(All RTN ODU) Mount -41.2dBi -1.3deg -30dB,150122PILv,17,SPARE
HUAWEI,52450609,F81210000AHA Full Outdoor MicroWave -RTN 380 -81G --3 -F81210000AHA -10000MHz -Sub Band A -High site -S -81000MHz -86000MHz -POE -4 -Without doc -WR-12 -H01,150122PILv,1,SPARE
HUAWEI,52450847,Full Outdoor MicroWave -RTN 320 -38G --3 -F383HA -High site -H -38304MHz -38892MHz -37044MHz -37632MHz -DC -7 -Without doc -WR-28 -H01 -1260MHz -Sub Band A -38304MHz -38892MHz.,150124TJKn,1,SPARE
HUAWEI,52451243,52451243-rtn 510 MICROWAVE 5g,150124TJKn,6,SPARE
HUAWEI,52451253,Microwave Eqt (?),150124TJKn,4,SPARE
KATHREIN,80010864,2G/3G Antenna,150122PILv,0,SPARE
HUAWEI,A26D06MAC-3NX,52432477,150122PILv,0,SPARE
HUAWEI,A26S06MAC-3NX,52432465,150122PILv,0,SPARE
HUAWEI,A80S03HAC,52431759,150122PILv,0,SPARE
CISCO,A99-RP2-SE,CISCO ASR 9000 Board,150122PILv,10,SPARE
HUAWEI,ADU451503,027010829,150122PILv,0,SPARE
CISCO,ANT-2-WLAN-D-O,5.875GHz 7DBI RP-TNC Outdoor Dual Band Omni Antenna,150122PILv,312,SPARE
CISCO,ANT-3-4G2G1-O,GPS 3 in 1 Antenna,150122PILv,260,SPARE
HUAWEI,AQU4517R4,EasyRET 2H2L 8-Port Antenna with 4 Integrated RCU-1.4m,150122PILv,2,SPARE
AMPHENOL,AS-HM-ATT-100W-30-A,100W 30dB ATTENUATOR,150122PILv,174,SPARE
CISCO,ASR-9010-DC,CISCO ASR-9010 DC Chassis,150122PILv,3,SPARE
CISCO,ASR-9010-FAN,CISCO ASR-9010 FAN Tray,150122PILv,1,SPARE
CISCO,ASR-9900-RP-TR,ASR 99xx Route Processor 6GB for Packet Transport,VODAFONE,5,SPARE
CISCO,ASR5K-042GE-T-K9,QGLC Rev2 4-Port Ethernet 1000 Line Board w/Copper ,150122PILv,6,SPARE
CISCO,ASR5K-PFU,ASR5000 POWER FILTER UNIT - NON-REDUNDANT - SINGLE 1,150122PILv,3,SPARE
CISCO,ASR5K-SPIO-3PN-K9,Switch Processor I/O - 3-Pin BITS,150122PILv,3,SPARE
ERICSSON,BMG980336/4,PDU 02 01; Power Distr. Unit,150122PILv,32,SPARE
HUAWEI,CGDS0575930M,CABLE ALARM 30MT With Socket,150122PILv,10,SPARE
CISCO,CISCO867VAE-K9,Ethernet ADSL2+ Negro - Router,150122PILv,12,SPARE
COMBA,CM-DW2D-OA2I,OTHER,150122PILv,39,SPARE
COMBA,CM-KY2D-OA2D,Outdoor Dual-band Combiner,150122PILv,127,SPARE
LS,DBC-0822-3D,DUAL BAND Combiner,150122PILv,125,SPARE
CISCO,DS-X9530-SF2-K9,CISCO MDS 9500 Series Supervisor-2 Module,150122PILv,0,SPARE
ALVARION,DS11-R8-ETSI(V4),812505 REMOTE BRIDGE W/Antenna 15.5DBI 2 -4-2 -7GHZ,150122PILv,20,SPARE
CISCO,EHWIC-VA-DSL-M,MULTI MODE VDSL2 ADSL 2 EHWIC ANNEX Module,150122PILv,6,SPARE
